Название книги,Цена книги,Автор,В наличие
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,802₽,Адитья Бхаргава,Купить
"Python на примерах. Практика, практика и только практика",541₽,Д. Кольцов,Купить
Python с нуля,1 546₽,Петр Левашов,Купить
Python глазами хакера,369₽,М. Бруцкий-Стемпковский,Купить
Python для Excel. Современная среда для автоматизации и анализа данных,950₽,Феликс Зумштейн,Купить
Python для data science,1 315₽,Юлий Васильев,Купить
Python для непрограммистов. Самоучитель в примерах,442₽,Джош Коглиати,Купить
Python. Экспресс-курс. 3-е издание,1 602₽,Наоми Седер,Купить
Python для финансистов. Базовые концепции,1 602₽,Ив Хилпиш,Купить
Python. Полное руководство,906₽,Д. Кольцов,Купить
Python - это просто. Пошаговое руководство по программированию и анализу данных,860₽,Нилаб Нисчал,Купить
Python. Самое полное руководство по разработке в примерах от сообщества Stack Overflow,1 703₽,,Купить
Python. Красивые задачи для начинающих,883₽,Павел Добряк,Купить
"Python, Django и Bootstrap для начинающих",894₽,Анатолий Постолит,Купить
Python: быстрый старт,839₽,Ду Чан,Купить
"Python, например",1 238₽,Никола Лейси,Купить
Python-интенсив: 50 быстрых упражнений,943₽,Реувен Лернер,Купить
Python. Основы программирования,1 196₽,,Купить
Python для гиков,1 006₽,Мухаммад Азиф,Купить
Python за 7 дней. Краткий курс для начинающих,873₽,Эндрю Парк,Купить
Python и DevOps: Ключ к автоматизации Linux,1 995₽,Ной Гифт,Купить
Python. Великое программирование в Minecraft,794₽,"Андрей Корягин, Алиса Корягина",Купить
Python. Исчерпывающее руководство,1 745₽,Дэвид Бизли,Купить
Python для детей. Самоучитель по программированию,1 450₽,Джейсон Бриггс,Купить
Python. Великое программирование в Minecraft,959₽,"Андрей Корягин, Алиса Корягина",Купить
Python на практике. Войти в IT с нуля,Нет цены,Д. Кольцов,Купить
Python. Погружение в математику с Minecraft,959₽,"Андрей Корягин, Алиса Корягина",Купить
Python для хакеров. Нетривиальные задачи и проекты,1 536₽,Ли Воган,Купить
Python. Создай свою первую игру с нуля! Самоучитель в примерах,715₽,"Джесс Вейхлер, Сет Кенлон",Купить
Python. 12 уроков для начинающих,615₽,Павел Добряк,Купить
Python. Чистый код для продолжающих,1 762₽,Эл Свейгарт,Купить
Python для юных программистов,764₽,Денис Голиков,Купить
Python для детей. Курс для начинающих,787₽,Александр Банкрашков,Купить
Python. Создаем программы и игры,629₽,Д. Кольцов,Купить
Python без проблем: решаем реальные задачи и пишем полезный код,1 260₽,Даниэль Зингаро,Купить
Python 3 и PyQt 6. Разработка приложений,1 509₽,"Владимир Дронов, Николай Прохоренок",Купить
Python. Великое программирование в Minecraft,550₽,Андрей Корягин,Купить
Python Создаем программы и игры,Нет цены,Д. Кольцов,Купить
"Python 3. Самое необходимое. 2-е издание, переработанное и дополненное",960₽,Николай Прохоренок,Купить
Python. Как стать профессионалом,894₽,Дуг Фаррелл,Купить
Python 3 и PyQt 6. Разработка приложений,Нет цены,"Владимир Дронов, Николай Прохоренок",Где купить?
"Python, например",835₽,Никола Лейси,Купить
Python. Лучшие практики и инструменты,3 193₽,"Тарек Зиаде, Михал Яворски",Купить
Python. Книга Рецептов,3 059₽,Дэвид Бизли,Купить
Python для сложных задач: наука о данных. 2-е издание,2 199₽,Дж. Вандер Плас,Купить
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",2 972₽,Эрик Чоу,Купить
Python для детей. Самоучитель по программированию,Нет цены,Джейсон Бриггс,Буду ждать
Python глазами хакера,Нет цены,М. Бруцкий-Стемпковский,Буду ждать
Python. Сборник упражнений. Введение в язык Python с задачами и решениями,Нет цены,Брайан Стивенсон,Купить
Python для сложных задач: наука о данных и машинное обучение,Нет цены,Дж. Вандер Плас,Где купить?
Python. Полное руководство,655₽,Д. Кольцов,Купить
Python. Непрерывная интеграция и доставка,1 269₽,Мориц Ленц,Купить
"Python. Искусственный интеллект, большие данные и облачные вычисления",2 673₽,Пол Дж. Дейтел,Купить
"Python 3. Самое необходимое. 2-е издание, переработанное и дополненное",705₽,Николай Прохоренок,Купить
"Python и анализ данных. Первичная обработка данных с применением pandas, NumPy и Ipython",Нет цены,Уэс Маккинни,Купить
"Python на примерах. Практика, практика и только практика",390₽,Д. Кольцов,Купить
Python на практике,1 359₽,Александр Киселев,Купить
Python 3 и PyQt 5 Разработка приложений (м) Прохоренок,925₽,,Купить
Python. Создаем программы и игры,445₽,Д. Кольцов,Купить
Python - это просто. Пошаговое руководство по программированию и анализу данных,625₽,Нилаб Нисчал,Купить
Программирование на Python в примерах и задачах,1 411₽,Алексей Васильев,Купить
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,1 801₽,Миша Горелик,Купить
"Изучаем Python: программирование игр, визуализация данных, веб-приложения",1 298₽,Эрик Мэтиз,Купить
Изучаем программирование на Python,1 898₽,Пол Бэрри,Купить
Программируем с детьми. Создайте 50 крутых игр на Python,1 508₽,Адриана Таке,Купить
"Учим Python, делая крутые игры",1 086₽,Эл Свейгарт,Купить
Миссия: Python. Создаем игры вместе с детьми,527₽,Шон Макманус,Купить
Легкий способ выучить Python 3 еще глубже,742₽,Зед А. Шоу,Купить
Легкий способ выучить Python 3,742₽,Зед А. Шоу,Купить
"Программирование на Python с нуля. Учимся думать как программисты, осваиваем логику языка и пишем первый код!",1 138₽,Патриша Фостер,Купить
"40 алгоритмов, которые должен знать каждый программист на Python",1 519₽,Имран Ахмад,Купить
Простой Python. Современный стиль программирования,1 591₽,Билл Любанович,Купить
"Справочник PYTHON. Кратко, быстро, под рукой",528₽,Д. Кольцов,Купить
Практическая статистика для специалистов Data Science. 50+ важнейших понятий с использованием R и Python,922₽,Питер Брюс,Купить
Основы Python. Научитесь думать как программист,1 200₽,Аллен Б. Дауни,Купить
Программируем на Python,1 102₽,Майкл Доусон,Купить
Внутри CPYTHON: гид по интерпретатору Python,1 536₽,Этнони Шоу,Купить
Django 4. Практика создания веб-сайтов на Python,1 541₽,Владимир Дронов,Купить
Знакомство с Python,1 669₽,"Дэн Бейдер, Дэвид Эймос, Джоанна Яблонски",Купить
Чистый Python. Тонкости программирования для профи,1 206₽,Дэн Бейдер,Купить
"""Непрактичный"" Python: занимательные проекты для тех, кто хочет поумнеть",984₽,Ли Воган,Купить
Простой Python. Современный стиль программирования,1 591₽,,Купить
"Black Hat Python: программирование для хакеров и пентестеров, 2-е изд",1 315₽,Джастин Зейтц,Купить
Глубокое обучение на Python,1 369₽,Франсуа Шолле,Купить
Объектно-ориентированное программирование с помощью Python,1 703₽,Ирв Кальб,Купить
Машинное обучение с помощью Python для всех: руководство по созданию систем машинного обучения: от основ до мощных инструментов,2 483₽,Марк Феннер,Купить
Нейросети на Python. Основы ИИ и машинного обучения,Нет цены,И. Куликова,Купить
Программирование на Python с помощью GitHub Copilot и ChatGPT,1 546₽,"Даниэль Зингаро, Лео Портер",Купить
Начнем.Python. Просто о сложном,755₽,С. Иванов,Купить
Простой Python. Современный стиль программирования,Нет цены,Билл Любанович,Где купить?
"Знакомьтесь, Python. Секреты профессии",806₽,Евгений Павлов,Купить
Классические задачи Computer Science на языке Python,1 094₽,Дэвид Копец,Купить
Надежный Python,894₽,Патрик Виафоре,Купить
FastAPI: веб-разработка на Python,2 098₽,,Купить
Алгоритмы. С примерами на Python,1 536₽,Джордж Хайнеман,Купить
Основы Python для Data Science,1 646₽,Кеннеди Берман,Купить
"HTML, CSS, SCRATCH, PYTHON. Моя первая книга по программированию",604₽,,Купить
"Мама, не отвлекай. Я Python учу!",973₽,Игорь Лазаревский,Купить
"Публикация пакетов Python. Тестирование, распространение и автоматизация проектов",1 411₽,Д. Хиллард,Купить
Django 3.0. Практика создания веб-сайтов на Python,1 321₽,Владимир Дронов,Купить
Интерпретируемое машинное обучение на Python,1 677₽,Серг Масис,Купить
Объектно-ориентированный Python,2 528₽,"Стивен Ф. Лотт, Дасти Филлипс",Купить
Объектно-ориентированное программирование с помощью Python,Нет цены,Ирв Кальб,Где купить?
"Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию",1 009₽,Джульен Данжу,Купить
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,1 155₽,Судхарсан Равичандиран,Купить
Машинное обучение с использованием Python. Сборник рецептов,1 230₽,Крис Элбон,Купить
Однострочники Python: лаконичный и содержательный код,1 315₽,Кристиан Майер,Купить
Программирование на Python. Первые шаги,Нет цены,Анастасия Щерба,Купить
"Django 2.1 Практика создания веб-сайтов на Python. Модели, контроллеры и шаблоны. Разграничение доступа. Аутентификация через социальные сети. Вывод миниатюр. Bootstrap. Captcha. Angular. Bbcode. Rest",835₽,Владимир Дронов,Купить
"Разработка с использованием квантовых компьютеров. Программирование квантовых машин в облаке: Python, Qiskit, Quantum Assembly language и IBM Qexperience",1 604₽,Владимир Силва,Купить
Обработка естественного языка. Python и spaCy на практике,1 210₽,Юрий Васильев,Купить
Сетевое программирование на Python,1 244₽,Джон Галбрейт,Купить
Обработка данных на Python. Data Wrangling и  Data Quality,1 057₽,Сьюзен Макгрегор,Купить
Робототехника. Управление квадрокоптером: Квадрокоптер Tello. Программирование на языке Python. 8-11 классы.,513₽,Денис Копосов,Купить
Информатика. 8-9 классы. Начала программирования на языке Python. Дополнительные главы к учебникам,381₽,Людмила Босова,Купить
Программирование на Python в примерах и задачах,Нет цены,Алексей Васильев,Буду ждать
Программирование. Python. C++. Часть 1. Учебное пособие,714₽,Константин Поляков,Купить
Программирование. Python. C++. Часть 2. Учебное пособие,714₽,Константин Поляков,Купить
Программирование. Python. C++. Часть 3. Учебное пособие,714₽,Константин Поляков,Купить
Asyncio и конкурентное программирование на Python,2 841₽,Мэттью Фаулер,Купить
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",2 707₽,Пол Орланд,Купить
Начинаем программировать на Python. 4-е издание,1 100₽,Тони Гэддис,Купить
Программирование. Python. C++. Часть 4. Учебное пособие,714₽,Константин Поляков,Купить
Глубокое обучение: легкая разработка проектов на Python,2 260₽,Сет Вейдман,Купить
Глубокое обучение на Python,940₽,Франсуа Шолле,Купить
"Обучение с подкреплением на PyTorch: сборник рецептов. Свыше 60 рецептов проектирования, разработки и развертывания самообучающихся моделей на Python",2 005₽,Юси Лю,Купить
"Как устроен Python. Гид для разработчиков, программистов и интересующихся",839₽,Мэтт Харрисон,Купить
Программируем на Python,Нет цены,Майкл Доусон,Где купить?
"Справочник PYTHON. Кратко, быстро, под рукой",Нет цены,Д. Кольцов,Буду ждать
Простой Python просто с нуля,Нет цены,Рик Гаско,Купить
Программирование на Python для начинающих,470₽,Майк МакГрат,Купить
"Программирование на Python с нуля. Учимся думать как программисты, осваиваем логику языка и пишем первый код!",690₽,Патриша Фостер,Купить
Структуры данных в Python. Начальный курс,1 529₽,Дональд Р. Шихи,Купить
Профессиональная разработка на Python,Нет цены,,Купить
Легкий способ выучить Python 3 еще глубже,630₽,Зед А. Шоу,Купить
Анализ социальных медиа на Python,1 837₽,Марко Бонцанини,Купить
Компьютерное зрение на Python. Первые шаги,Нет цены,Эдуард Шакирьянов,Купить
Аналитика в Power BI с помощью R и Python,Нет цены,Розалин Уэйд,Купить
Программирование GPU при помощи Python и CUDA,Нет цены,Бриан Тоуманнен,Купить
Скраппинг веб-сайтов с помощью Python,1 439₽,Райан Митчелл,Купить
Основы Data Science и Big Data. Python и наука о данных,Нет цены,,Буду ждать
Pyomo. Моделирование оптимизации на Python,Нет цены,"Майкл Л. Бинум, Габриэль А. Хакебейл, Уильям Э. Харт",Купить
"Прогнозное моделирование в IBM SPSS Statistics, R и Python Метод деревьев решений и случайный лес",Нет цены,Артем Груздев,Купить
Использование языка Python в теории вероятностей. Учебник,Нет цены,Сергей Криволапов,Купить
Легкий способ выучить Python,714₽,Зед А. Шоу,Купить
Эволюционные нейросети на языке Python,2 034₽,Ярослав Омельяненко,Купить
Изучаем основы Python. Практический курс для дата-аналитиков,Нет цены,Павел Меликов,Купить
Биоинформатика с PYTHON. Книга рецептов,2 674₽,Тиаго Антао,Купить
Легкий способ выучить Python,Нет цены,Зед А. Шоу,Буду ждать
Цифровая обработка сигналов на языке Python (м) Дауни,Нет цены,Аллен Б. Дауни,Купить
"Учим Python, делая крутые игры",660₽,Эл Свейгарт,Купить
Рецепты Python. Коллекция лучших техник программирования,2 420₽,,Купить
"Django 2.1 Практика создания веб-сайтов на Python. Модели, контроллеры и шаблоны. Разграничение доступа. Аутентификация через социальные сети. Вывод миниатюр. Bootstrap. Captcha. Angular. Bbcode. Rest",1 175₽,Владимир Дронов,Купить
Глубокое обучение с подкреплением. Теория и практика на языке Python,1 978₽,Лаура Грессер,Купить
Простой Python для опытных программистов,934₽,Рик Гаско,Купить
